Time,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Label
0,5.292157038,8.223850719,-7.664605267,0,-8,-19.64273411,0.705384546,0
0.01,1.263303065,9.569421815,-8.547284471,7,-7.84,8.249741192,0.588108315,0
0.02,3.061874351,4.308845839,0.255807871,7,-7.68,-4.397033114,-0.930804025,0
0.03,6.911163995,6.414592954,-4.754173847,7,-7.52,-12.01926114,-0.021313101,0
0.04,5.853974925,6.90463504,-0.353793905,7,-7.36,5.09757112,1.975260925,0
0.05,-2.617726049,6.794080157,-3.456465911,7,-7.2,-9.890491633,0.96242206,0
0.06,3.227167079,8.146047743,-3.778527745,7,-7.04,1.542816284,-1.411629529,0
0.07,-0.014390442,-1.295508867,-2.3162692,7,-6.88,3.798869268,3.660069986,0
0.08,0.192786626,5.772409821,3.618448155,7,-6.72,1.453345766,2.92324486,0
0.09,1.796980851,6.917802268,4.758808006,7,-6.56,-24.46567399,-0.959268304,0
0.1,1.060035909,1.951366812,1.9815058,7,-6.4,-7.563054292,-0.688373182,0
0.11,5.053420778,12.63871138,-4.810910182,7,-6.24,14.52311321,-0.445267606,0
0.12,3.036381231,6.578147537,3.368917108,7,-6.08,-7.655217793,2.065813098,0
0.13,1.180931165,12.17373465,3.607800741,7,-5.92,0.468974989,2.323338686,0
0.14,2.210101664,2.74529392,1.549108491,7,-5.76,-7.668396015,2.217394809,0
0.15,1.942106115,2.264523018,-2.829676377,7,-5.6,-15.03810463,2.535730403,0
0.16,5.485854368,6.776139198,3.74527515,7,-5.44,-15.01232647,-1.387623868,0
0.17,0.450636751,-0.85114471,2.327619632,7,-5.28,12.44297923,0.130904769,0
0.18,2.067766954,6.707023599,-15.35820882,7,-5.12,6.397632982,-2.500060207,0
0.19,-1.371315617,6.218667325,3.460879453,7,-4.96,21.60285205,3.067940752,0
0.2,-6.405637112,9.874160093,-9.317551276,7,-4.8,-3.949767003,3.492321921,0
0.21,3.276499377,8.596455198,3.581510275,7,-4.64,6.828362969,3.719556296,0
0.22,3.971211503,4.10225663,-0.494121889,7,-4.48,-1.573021208,0.796084822,0
0.23,-0.786387236,1.361144115,6.256833491,7,-4.32,-1.303106357,2.331542174,0
0.24,8.311519763,12.57840815,-0.189498834,7,-4.16,17.70436878,2.501263029,0
0.25,-2.798752373,2.537879016,-4.119234917,7,-4,-2.284862813,4.826941506,0
0.26,1.763647204,1.500491602,-0.410405877,7,-3.84,21.40834003,-1.967189652,0
0.27,1.126782897,1.318518978,5.637916763,7,-3.68,6.025362857,3.40586255,0
0.28,6.348568233,10.10162441,0.482637876,7,-3.52,-20.72878535,1.306922834,0
0.29,6.220133946,3.530372837,-0.207754984,7,-3.36,-21.6008542,1.342883897,0
0.3,2.338655423,2.563841051,4.094200831,7,-3.2,24.11571062,3.366097391,0
0.31,3.069982239,6.101222545,1.440738809,7,-3.04,-5.032030698,3.027023283,0
0.32,-0.666257438,4.693612242,0.37180983,7,-2.88,4.372941593,0.523954618,0
0.33,-3.883763317,2.779065193,7.244248123,7,-2.72,-3.420696516,3.325114892,0
0.34,1.076334651,8.476601692,8.202014777,7,-2.56,-17.05517808,3.146466341,0
0.35,2.650479321,9.690224283,3.505568376,7,-2.4,-18.72241485,5.69309663,0
0.36,5.933579652,9.337701545,-0.978370218,7,-2.24,-14.36519237,2.945250065,0
0.37,5.911033813,8.430727224,7.948464347,7,-2.08,5.266890561,4.068217415,0
0.38,1.203009518,6.939320817,6.391986427,7,-1.92,2.326679369,-0.413001832,0
0.39,1.519084056,-1.809804641,4.083349027,7,-1.76,-8.570578386,1.693508315,0
0.4,-0.658760024,11.93484331,-5.579049969,7,-1.6,-22.79128801,0.707615528,0
0.41,-1.712346555,6.429059369,1.217157237,7,-1.44,-8.798597494,2.598638435,0
0.42,-2.510395509,7.616166214,-3.192103437,7,-1.28,-5.084833817,6.162520894,0
0.43,8.521346079,9.605009229,-0.2563493,7,-1.12,12.82118915,-0.657375236,0
0.44,1.20056281,10.8393769,1.751445809,7,-0.96,11.87419947,2.22002871,0
0.45,1.475688156,6.739559598,1.064401968,7,-0.8,-13.92959517,2.790549277,0
0.46,-0.908193455,6.767352877,-1.799832399,7,-0.64,-13.6163024,1.911633274,0
0.47,5.242832736,2.586678285,6.953244392,7,-0.48,6.394141369,5.738225175,0
0.48,-1.871277727,5.07355459,-7.879753978,7,-0.32,7.58881737,5.244738731,0
0.49,2.392131856,1.481390461,4.264240791,7,-0.16,3.055138804,5.065980687,0
0.5,0.40377026,1.974339838,-8.661678498,7,0,-19.40143098,2.470202957,0
0.51,4.31057269,1.2351043,2.551137093,7,0.16,-10.71399258,2.902035903,0
0.52,1.677020685,4.139846828,-3.783972971,7,0.32,-23.41483943,4.194160593,0
0.53,-0.273016256,8.914103344,5.05446328,7,0.48,13.07970737,3.464931355,0
0.54,3.24364876,17.3546729,1.107596399,7,0.64,15.32517137,1.572422974,0
0.55,4.672374814,5.381078007,1.926248293,7,0.8,21.02402997,4.731083815,0
0.56,3.645980899,-0.818997285,-4.391304392,7,0.96,-20.60422166,-0.953250252,0
0.57,4.412758895,9.585441604,-2.560389514,7,1.12,20.31064781,5.439741432,0
0.58,1.661152506,3.272511367,1.760910022,7,1.28,20.92126115,6.781815781,0
0.59,2.534530169,1.782644328,3.655027429,7,1.44,24.88529962,4.061542485,0
0.6,1.663864184,5.213209676,15.39500647,7,1.6,13.8944284,5.118313559,0
0.61,2.660932573,-0.640644249,1.87615694,7,1.76,-11.86810822,3.32940699,0
0.62,1.358352109,5.159066719,5.654385499,7,1.92,-11.77205651,1.330337139,0
0.63,-1.323007884,3.862397726,-6.998146884,7,2.08,9.410843885,6.121974702,0
0.64,4.446015095,4.555431462,-5.850619385,7,2.24,8.986633083,1.679575535,0
0.65,2.766136098,5.632947652,-0.966324692,7,2.4,8.01646003,7.88362966,0
0.66,-0.861530684,4.321965878,-5.163688043,7,2.56,-7.343956588,2.760220694,0
0.67,5.474837514,4.061423541,8.267739829,7,2.72,0.989863914,3.60607228,0
0.68,1.421860717,5.076772611,-1.203065024,7,2.88,-9.925126043,3.502319357,0
0.69,4.356693472,5.543938274,7.77121439,7,3.04,4.839535771,4.318752198,0
0.7,6.445064602,-0.301385903,8.306485336,7,3.2,13.62010886,2.350249472,0
0.71,4.701509189,-1.953816867,1.098730971,7,3.36,9.934813987,2.854990245,0
0.72,7.78935972,3.46060547,3.406081813,7,3.52,-3.374733586,5.940566888,0
0.73,0.723104849,-2.083360174,0.628827496,7,3.68,1.236420053,0.65591555,0
0.74,5.690857084,3.937555782,3.613742708,7,3.84,13.62092483,2.155397239,0
0.75,2.485474725,7.281699016,3.350490714,7,4,-13.35735454,1.747221572,0
0.76,1.983407159,5.893882908,0.327747859,7,4.16,-13.93507005,3.305521708,0
0.77,2.914961786,-0.789067933,3.483051091,7,4.32,-0.750659343,3.650383344,0
0.78,3.772381725,-0.099796109,9.588878302,7,4.48,-0.293176086,3.096356392,0
0.79,4.930878063,4.59157126,4.547664233,7,4.64,-23.8263626,4.087970128,0
0.8,1.322087219,1.609769549,2.623757617,7,4.8,4.097316945,5.405269076,0
0.81,7.574980718,1.8844266,1.6307738,7,4.96,-4.112928385,5.085399689,0
0.82,6.324260735,5.474263128,-4.044282716,7,5.12,3.818985249,3.139354435,0
0.83,0.373119995,-0.927407564,-4.105254833,7,5.28,20.7411837,3.925571086,0
0.84,9.500988598,1.35142521,2.660148683,7,5.44,-8.344095848,1.715215642,0
0.85,10.77808169,-0.30980786,-5.79146342,7,5.6,-19.60820779,6.085707851,0
0.86,8.680734051,-1.348294399,-2.764030038,7,5.76,-14.67406556,3.788785286,0
0.87,4.658398919,-0.670833591,7.48726988,7,5.92,-9.673147104,-1.469867088,0
0.88,2.039488435,5.400147974,10.66295623,7,6.08,18.1735048,2.695992202,0
0.89,8.468467024,2.829976158,-7.225888853,7,6.24,2.453714606,1.557416611,0
0.9,4.148737109,-0.961966766,9.249212236,7,6.4,24.75410333,5.326981991,0
0.91,9.078547732,1.561847056,0.070834849,7,6.56,-10.7483992,2.13991715,0
0.92,6.088768402,-4.137790614,1.065051615,7,6.72,-21.56365919,1.950122017,0
0.93,8.446375816,-0.585009229,0.585058391,7,6.88,-9.940593186,2.270145471,0
0.94,6.637855356,10.87697271,6.566865302,7,7.04,24.62974662,-0.256587576,0
0.95,7.740553283,1.847771917,-6.862221594,7,7.2,12.15495824,0.301996294,0
0.96,5.704189553,5.06510698,3.468984383,7,7.36,20.75306748,4.265313021,0
0.97,11.08193274,1.805904038,-3.524191362,7,7.52,4.742236685,1.571524063,0
0.98,6.156463312,3.389594208,4.066083725,7,7.68,-11.23182748,5.478025361,0
0.99,7.032872887,4.578694018,8.93809226,7,7.84,22.72156895,1.020521886,0
1,11.52730461,-2.564364424,1.233981345,7,-8,-13.54217738,3.20482507,0
1.01,1.885291018,1.65850446,3.118788617,7,-7.84,-5.144298298,2.372902191,0
1.02,2.167594835,8.025576352,3.30770497,7,-7.68,-10.33060965,0.714536861,0
1.03,8.937485541,-1.544290587,-2.726100963,7,-7.52,7.172952462,3.260365147,0
1.04,2.559932762,-0.700710377,8.841971189,7,-7.36,-4.099513702,1.64146458,0
1.05,11.95993409,0.261374214,9.828010909,7,-7.2,22.85541042,2.915125336,0
1.06,4.937739189,2.495090275,4.816468979,7,-7.04,23.37100394,3.734267561,0
1.07,3.985513371,3.44529602,1.685848819,7,-6.88,-20.1542991,1.047580486,0
1.08,12.04573969,6.341689279,-0.978190899,7,-6.72,21.41665463,7.714080403,0
1.09,10.76724599,3.196252817,-1.789329558,7,-6.56,14.89980076,1.569341997,0
1.1,11.97691678,0.876075384,9.909134594,7,-6.4,10.61687181,4.275790868,0
1.11,9.140660507,6.086806872,8.438843645,7,-6.24,-6.860700932,2.503977232,0
1.12,3.886882561,3.79226708,1.060264249,7,-6.08,8.977861993,2.796592236,0
1.13,12.24853211,-5.08136453,-6.5092913,7,-5.92,15.5333217,2.919651694,0
1.14,5.761847445,10.93221471,-12.75792207,7,-5.76,16.5212373,1.096937848,0
1.15,9.020487841,7.831684954,-4.003233926,7,-5.6,15.28878093,2.394704752,0
1.16,9.501874578,0.004281418,0.772545535,7,-5.44,-8.998820497,2.483717628,0
1.17,6.241825486,2.113810696,8.440826756,7,-5.28,-15.7493504,2.724169386,0
1.18,8.595566192,5.824542179,-1.809179578,7,-5.12,2.188767531,1.5782546,0
1.19,9.566153802,-0.236842338,3.984884329,7,-4.96,-12.28869895,2.229540647,0
1.2,7.974747653,3.298150279,7.988403019,7,-4.8,14.24925912,-0.316578306,0
1.21,3.592935712,4.719779803,2.126856425,7,-4.64,-22.76650067,1.618746111,0
1.22,7.831247581,-3.833162535,0.783597479,7,-4.48,-3.729572617,0.959842596,0
1.23,10.96081188,-2.258546842,-5.03633353,7,-4.32,13.92940145,2.185970763,0
1.24,4.942796119,3.761029831,-4.493260159,7,-4.16,-20.9720448,2.800003635,0
1.25,6.622164191,1.843257909,3.611231902,7,-4,9.348957264,2.024236499,0
1.26,5.809896117,3.619790002,0.537798303,7,-3.84,-13.44683718,5.476547602,0
1.27,12.70715602,-0.681052631,2.166579575,7,-3.68,-18.63030536,-0.803215008,0
1.28,9.21997452,-1.38216194,1.329106089,7,-3.52,-9.605657271,4.224225765,0
1.29,8.468916811,-8.296023811,4.897771144,7,-3.36,-24.0331876,2.779784496,0
1.3,4.979938051,-4.960744823,-2.334845495,7,-3.2,6.501124864,1.747254985,0
1.31,8.950301036,-0.263696455,-0.077786669,7,-3.04,-8.354555855,-2.088851672,0
1.32,5.352133192,2.771121699,11.09253689,7,-2.88,24.68555997,2.549530019,0
1.33,7.512909402,1.522543177,-2.375811661,7,-2.72,-20.10803265,0.845809641,0
1.34,5.551873219,-1.190106205,0.226719145,7,-2.56,19.74421379,2.001202512,0
1.35,9.530410581,-1.839085667,-1.300876075,7,-2.4,-0.102112566,-1.340537165,0
1.36,9.272286257,0.041976786,3.881409136,7,-2.24,-19.11496405,0.266917885,0
1.37,6.958722886,-0.58850881,6.780892467,7,-2.08,17.80586706,1.170335262,0
1.38,8.812445248,4.642359069,-0.810715179,7,-1.92,-19.44772182,4.083890088,0
1.39,4.385745542,-0.464375272,-0.465333317,7,-1.76,7.292964038,0.429605549,0
1.4,3.23135965,-7.049271736,0.30820914,7,-1.6,-12.73912187,-2.586838313,0
1.41,9.063205706,-6.288492423,4.363648052,7,-1.44,-2.54412279,1.742436879,0
1.42,8.284643502,4.802994688,-1.97115233,7,-1.28,3.650996153,4.116292706,0
1.43,9.729002416,-6.030266411,-0.142647633,7,-1.12,20.98377298,0.479625818,0
1.44,15.01231865,1.63899583,-10.11250629,7,-0.96,-10.77431198,-0.468124277,0
1.45,10.73498858,-2.565630264,-5.148968368,7,-0.8,-5.615257674,1.618546773,0
1.46,5.20143731,-2.244082213,1.208814144,7,-0.64,-15.02021146,-1.893020311,0
1.47,11.32899326,-2.174242744,6.271612556,7,-0.48,-7.818918234,1.165792903,0
1.48,4.067947617,3.175424263,3.268911781,7,-0.32,-18.7094086,0.514497265,0
1.49,6.668325043,-2.553616804,-3.689085946,7,-0.16,2.404169807,0.259689683,0
1.5,7.885445128,-1.987379098,-5.185319042,7,0,2.961580689,0.311014008,0
1.51,13.26696981,-8.048875648,2.700550202,7,0.16,6.168656811,-0.671132027,0
1.52,5.929128041,-1.17015522,-6.425698769,7,0.32,-13.48238102,-0.401746546,0
1.53,5.720205477,0.056312489,7.179105098,7,0.48,-3.382217357,-0.902173003,0
1.54,7.939968403,-1.18188895,2.180085271,7,0.64,-22.92854563,1.068844899,0
1.55,6.280370884,3.382837728,-6.164881539,7,0.8,-22.98716562,0.629576462,0
1.56,11.68586676,-2.057989154,-2.946953566,7,0.96,-9.526857081,-0.52722595,0
1.57,5.100989811,-1.152332177,-1.727662979,7,1.12,-0.542852441,1.448823709,0
1.58,4.932874443,4.176577427,-1.961009736,7,1.28,9.648700908,1.301597588,0
1.59,7.095985689,-8.686310243,-5.533671831,7,1.44,12.93367325,3.836395419,0
1.6,6.949181903,-4.377977141,-2.446297914,7,1.6,-4.910950998,2.066852236,0
1.61,14.26537552,3.081940408,-1.483990617,7,1.76,12.78032108,0.18936904,0
1.62,11.35820724,1.054217297,-1.607428275,7,1.92,11.38020053,-1.916261554,0
1.63,8.805428041,-0.043958768,7.599747731,7,2.08,6.623708527,0.653927494,0
1.64,4.898960005,0.506379365,2.49504838,7,2.24,-17.91851194,-2.270794289,0
1.65,11.1405092,-1.582257208,-2.984451413,7,2.4,-10.63780057,1.382671828,0
1.66,5.63858813,3.570025661,0.319632392,7,2.56,1.693837588,-0.601971537,0
1.67,4.036393721,-1.510702531,-2.394158985,7,2.72,15.69659669,2.422873272,0
1.68,12.26592692,-2.127168779,0.514459511,7,2.88,-4.834309158,-2.224460166,0
1.69,9.683452384,-2.515213083,6.402884995,7,3.04,23.35331232,-0.18877177,0
1.7,11.52564327,-2.443504948,3.297519566,7,3.2,8.270028487,0.291261345,0
1.71,9.749346061,-7.906435204,13.47497791,7,3.36,-9.347218145,-1.408480355,0
1.72,11.3934041,-0.258561481,3.937395264,7,3.52,3.071704008,2.595370985,0
1.73,6.899236333,-3.92537263,-2.499448589,7,3.68,-6.246315926,5.429948311,0
1.74,5.778635963,3.822224171,6.127973025,7,3.84,20.59905722,1.813811984,0
1.75,10.9548488,-3.829313396,7.489650345,7,4,-22.5826403,-1.901374722,0
1.76,6.528185249,-1.903756762,7.571533477,7,4.16,-13.55422325,-2.494164609,0
1.77,6.897761035,-2.661173041,-3.359822717,7,4.32,-20.17167345,-0.964117655,0
1.78,7.627455005,-6.209385819,1.383857665,7,4.48,15.2809846,-0.697212302,0
1.79,9.073777071,0.202399146,7.791746267,7,4.64,-15.44602988,-1.31829427,0
1.8,7.986288791,3.795710624,-6.280337614,7,4.8,12.14236905,-3.091830335,0
1.81,4.949990365,-3.941444648,-0.343177082,7,4.96,3.079824706,0.582417557,0
1.82,7.170204498,-5.141429677,-4.970203419,7,5.12,16.51079926,-1.452310739,0
1.83,2.456706417,-5.416186129,-2.487809218,7,5.28,24.74743963,0.111227188,0
1.84,11.02810608,-11.62144442,-2.876708377,7,5.44,-17.28816067,4.388751808,0
1.85,4.37137329,-4.81853521,8.448940435,7,5.6,-17.47913343,-4.28538488,0
